Renewables 04/01/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-15,-12,-10,-10,-8,-6,-6,-6,-5,-7,-10,-11,-12,-11,-11,-13,-15,-15,-16,-15,-18,-21,-21,-22,-26,-30,-30,-29,-32,-34,-35,-37,-39,-38,-36,-37,-39,-42,-45,-49,-51,-50,-52,-54,-55,-55,-52,-49,-48,-46,-42,-39,-34,-27,-23,-31,-38,-39,-39,-33,-30,-29,-31,-31,-31,-31,-29,-28,-29,-28,-28,-26,-23,-22,-19,-20,-20,-20,-22,-21,-10,29,94,216,384,571,874,1208,1800,2365,2917,3386,3917,4485,4923,5461,6014,6497,6941,7318,7864,8496,8959,9339,9860,10330,10593,10919,11074,11356,11845,12567,12970,13190,13038,12763,12993,13055,13054,13182,13317,13225,13560,13890,13608,13470,13295,12967,12828,12935,13196,13249,13573,14313,14570,14175,13312,13133,13215,13367,13211,13119,13127,13103,13289,13661,13808,14014,14080,14329,14092,14038,13788,13802,13773,13482,13328,13430,13501,13458,13485,13553,13580,13352,12972,12960,13202,13384,13319,13183,12913,12775,12964,13114,13156,13042,13153,13146,13095,13086,13402,13717,13440,13446,13733,13684,13317,13001,12954,13376,13476,12926,12464,11981,11421,10855,10708,11049,11412,11272,11085,11240,10939,10430,10275,10411,10096,10018,9675,9499,9325,9337,9215,8974,8481,7987,7363,6614,5982,5425,4833,4149,3480,2829,2284,1756,1308,935,634,428,292,189,127,103,98,101,107,111,115,117,120,122,125,129,138,78,22,26,30,31,30,27,27,29,27,23,17,16,16,14,12,13,14,14,16,19,23,26,24,28,31,28,27,28,26,24,29,33,29,25,26,27,27,28,28,30,35,42
Wind,1876,1894,1917,1917,1906,1894,1886,1849,1804,1774,1720,1655,1605,1567,1193,1125,1093,1065,1024,986,944,913,888,873,855,834,818,803,803,921,1015,1004,996,1011,1047,1037,1021,1029,1034,1052,1062,1065,1050,1021,996,971,956,952,962,991,1013,1033,1054,1066,1069,1063,1050,1022,1000,966,941,914,892,879,875,904,940,965,986,1004,1012,1028,1057,1088,1123,1146,1165,1152,1145,1154,1155,1158,1172,1191,1221,1225,1215,1208,1215,1210,1192,1207,1176,1118,1075,1073,1097,1154,1210,1227,1231,1216,1242,1281,1280,1288,1297,1292,1270,1244,1238,1270,1289,1286,1305,1313,1363,1394,1398,1408,1420,1436,1433,1443,1459,1468,1464,1469,1434,1426,1442,1409,1392,1368,1365,1401,1437,1445,1439,1441,1418,1423,1408,1368,1342,1346,1307,1193,1069,1120,1207,1278,1370,1396,1377,1374,1423,1603,1707,1746,1691,1824,1858,1752,1701,1720,1727,1846,1899,1908,1827,1901,1908,1814,1904,1942,1847,1898,1869,1721,1839,1938,1847,1895,1941,1864,1931,1882,1820,1776,1694,1652,1698,1782,1824,1885,1896,2091,2202,2189,2368,2477,2433,2603,2685,2541,2600,2674,2642,2714,2795,2666,2768,2829,2755,2844,2854,2758,2865,2917,2857,2984,3023,2948,3058,3122,3033,3176,3243,3210,3281,3328,3331,3367,3487,3601,3717,3765,3805,3823,3858,3893,3923,3938,3937,3838,3776,3707,3630,3567,3554,3512,3459,3416,3390,3378,3380,3390,3368,3315,3272,3230,3223,3213,3185,3189,3213,3220,3231,3224,3204,3150,3085,3015,2945,2888,2858,2835,2823,2859,2853,2859,2893,2863,2838,2823,2831,2826
Geothermal,747,747,747,748,747,747,746,747,746,748,747,748,748,748,748,749,749,749,749,750,750,750,751,750,751,750,750,750,750,750,751,750,750,749,747,745,744,741,742,744,743,743,741,742,743,743,743,743,742,742,742,742,741,742,741,742,742,742,741,736,735,735,734,734,734,733,733,733,733,734,734,735,735,735,734,734,734,734,731,724,724,724,723,723,724,721,719,719,720,720,719,719,719,718,717,711,708,707,702,700,700,700,700,700,700,700,699,699,700,700,700,700,700,700,699,698,698,699,698,698,698,699,699,699,699,699,698,697,697,698,699,699,698,698,697,697,699,699,698,698,698,698,698,698,698,698,697,698,698,698,697,697,696,697,698,698,698,697,697,697,698,697,696,697,696,696,695,695,695,694,694,695,695,695,695,695,695,695,696,696,695,694,695,694,694,693,694,693,693,693,693,693,693,692,692,692,692,692,692,692,693,697,697,696,694,699,700,700,700,699,700,702,707,708,708,707,709,712,711,711,711,711,711,711,711,711,711,709,711,711,711,710,710,710,710,711,711,711,710,711,711,711,712,712,712,712,711,711,711,710,710,706,706,706,703,707,709,710,711,710,710,710,710,708,707,707,709,716,717,718,718,718,717,716,716,716,718,713,710,707,707,707,708,707,706,706,704,702
Biomass,257,255,257,258,259,259,260,258,259,259,259,260,260,261,261,259,260,260,260,260,260,260,259,259,259,259,259,259,259,260,260,260,258,256,257,257,260,260,262,261,262,262,260,262,261,263,263,261,262,261,260,262,262,262,262,262,262,260,260,260,263,264,263,264,265,264,264,263,259,259,260,263,269,271,269,271,274,272,272,273,270,270,270,268,269,271,271,273,270,269,268,268,266,268,269,270,270,275,277,277,276,272,275,274,275,275,273,273,276,275,277,276,276,272,274,279,277,275,276,274,274,273,264,266,267,273,276,277,277,276,277,275,273,272,271,272,271,275,278,280,281,280,276,276,277,278,276,274,273,274,275,276,274,275,275,275,277,276,274,270,269,267,267,272,274,275,274,275,274,273,275,278,277,276,278,275,275,276,276,272,271,274,274,275,277,274,277,277,278,275,273,275,276,277,275,275,276,279,280,280,282,279,278,277,273,272,273,272,271,272,273,274,272,272,272,271,271,271,273,274,273,271,272,273,273,273,272,272,269,271,274,271,272,273,274,273,276,275,274,273,274,277,276,275,274,275,275,275,272,271,272,270,273,270,269,270,273,272,270,269,267,268,269,267,264,261,259,262,260,259,257,260,262,264,264,260,255,260,259,261,263,261,262,264,263,264,264,262
Biogas,175,176,177,176,176,176,175,175,176,177,177,177,177,177,177,176,176,176,176,176,177,176,176,176,177,176,176,176,177,176,176,176,176,177,177,177,177,176,176,177,177,176,176,176,176,176,176,176,177,177,177,178,178,178,178,178,178,178,178,178,177,178,177,177,178,178,177,178,178,178,178,177,177,177,177,178,178,176,176,176,177,176,176,176,175,176,176,176,177,176,177,176,176,175,175,175,175,176,178,176,176,176,176,176,176,176,175,176,176,176,177,176,175,176,175,176,176,175,172,172,172,174,175,176,175,175,175,175,175,176,177,176,176,176,176,176,175,176,176,176,177,176,176,176,176,176,176,176,176,176,176,175,175,176,177,176,176,176,176,176,175,175,175,175,175,176,177,176,175,172,172,171,171,171,171,171,171,171,173,171,171,172,171,172,171,171,171,171,171,171,171,172,171,171,172,171,171,170,172,171,170,171,172,171,171,171,173,172,171,171,170,170,171,171,170,171,171,172,172,173,173,173,173,174,175,175,175,175,175,176,175,175,175,175,170,165,164,165,164,165,165,164,165,165,164,164,164,168,172,172,172,174,176,177,179,179,181,180,179,179,179,180,179,179,180,179,180,180,180,180,179,180,180,179,180,180,180,179,180,179,179,178,178,180,179,179,179,180
Small hydro,267,270,271,272,272,272,272,272,272,272,273,272,272,272,274,274,273,274,273,274,274,275,274,275,274,275,274,273,273,273,273,274,274,273,273,274,273,274,273,273,273,272,271,271,272,271,271,271,271,271,272,271,270,271,271,271,272,273,272,272,271,271,274,278,278,278,276,275,274,274,273,273,273,275,277,276,272,271,271,270,271,271,272,272,266,266,266,266,265,265,265,264,263,264,264,264,264,264,265,265,266,265,265,264,264,264,263,264,264,261,260,260,258,259,259,259,258,258,258,258,258,256,256,256,255,256,256,255,255,255,256,255,256,255,255,255,256,256,257,256,256,257,257,257,257,257,257,256,256,256,257,256,256,256,256,257,257,257,256,257,257,257,256,256,257,257,257,256,256,256,256,257,257,257,257,257,256,255,255,256,256,256,262,263,262,263,264,264,264,265,265,267,268,268,267,266,266,267,267,267,266,267,267,267,267,267,267,268,267,268,268,268,269,268,269,269,267,265,267,267,267,267,267,267,266,267,267,266,266,267,270,271,271,270,270,270,269,270,270,269,270,270,270,270,270,269,269,270,271,270,270,269,269,270,270,270,270,270,270,270,270,269,270,270,271,272,271,271,271,271,271,271,272,272,272,272,271,271,271,270,270,270,270,270,270,270,269,270
