Renewables 04/22/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,4,4,2,1,0,0,1,0,-1,-3,-5,-8,-9,-12,-14,-14,-17,-17,-18,-17,-16,-15,-16,-14,-15,-15,-15,-15,-15,-15,-14,-14,-15,-15,-13,-12,-13,-14,-14,-13,-11,-11,-12,-13,-12,-11,-10,-13,-13,-13,-10,-5,-4,-6,-10,-11,-13,-14,-11,-7,-5,-4,-10,-13,-15,-19,-19,-21,-21,-22,-24,-25,-19,-7,22,90,208,402,691,1088,1584,2133,2752,3470,4224,4992,5737,6413,7210,7983,8609,9269,9887,10631,11289,11842,12185,12656,13150,13543,13868,14014,14164,14429,14559,14665,14804,14821,15029,15338,15411,15445,15536,15492,15556,15843,15925,15983,16071,16068,16291,16519,16594,16619,16797,16956,17040,17093,17051,17095,17131,17101,17215,17542,17636,17709,17839,17872,17914,17918,17948,17961,17981,17989,17962,17989,18056,18113,18232,18337,18350,18258,18268,18276,18234,18336,18251,18255,18247,18172,18146,18146,18117,18104,18118,18105,18079,18119,18043,17998,17947,17916,17943,17750,17696,17550,17392,17298,17299,17331,17317,17154,17022,16838,16723,16652,16586,16729,16720,16744,16761,16604,16558,16492,16211,16228,16239,16124,16056,16130,16008,15961,15878,15797,15718,15743,15429,15142,14922,14725,14354,13937,13541,13113,12434,11758,10933,10118,9265,8430,7648,6884,6088,5268,4494,3748,3074,2439,1856,1361,984,691,485,347,228,167,142,107,88,78,80,87,91,93,99,102,105,108,109,111,112,112,112,112,112,111,111,114,115,115,113,115,115,116,116,116,116,116,113,113,112,113,114,115,116,118,118,117,117,117,118,118,118,118,118,116,115,115
Wind,1674,1651,1622,1604,1572,1558,1554,1540,1516,1486,1462,1418,1377,1329,1293,1258,1242,1232,1219,1206,1203,1208,1197,1181,1173,1165,1165,1172,1174,1176,1187,1189,1190,1207,1211,1221,1237,1249,1252,1253,1245,1242,1245,1249,1252,1267,1276,1282,1287,1296,1301,1309,1301,1289,1281,1265,1251,1257,1267,1277,1273,1269,1268,1266,1261,1261,1256,1267,1280,1294,1303,1312,1334,1345,1356,1363,1364,1377,1382,1388,1393,1398,1391,1383,1370,1357,1343,1337,1340,1339,1324,1309,1291,1270,1245,1230,1212,1200,1187,1176,1171,1168,1169,1170,1174,1177,1189,1204,1224,1244,1278,1287,1308,1334,1357,1361,1379,1385,1390,1382,1371,1350,1342,1341,1350,1358,1363,1389,1294,1269,1268,1288,1346,1306,1337,1350,1309,1359,1302,1317,1385,1398,1457,1445,1472,1534,1546,1582,1641,1662,1641,1684,1687,1684,1703,1753,1735,1747,1773,1755,1792,1813,1831,1911,1921,1882,1987,2040,2047,2098,2186,2163,2140,2164,2163,2148,2197,2190,2241,2314,2369,2367,2434,2449,2455,2419,2402,2502,2541,2568,2602,2616,2665,2732,2802,2808,2826,2852,2845,2903,2895,2923,2955,2965,3001,2984,3001,3110,3180,3214,3243,3236,3289,3256,3274,3321,3327,3309,3311,3337,3387,3389,3417,3465,3528,3495,3514,3546,3586,3666,3845,3901,3866,3836,3807,3806,3800,3765,3768,3797,3796,3809,3819,3817,3817,3812,3802,3787,3764,3762,3787,3805,3795,3785,3802,3802,3800,3803,3772,3736,3731,3738,3732,3711,3713,3722,3713,3712,3720,3738,3755,3782,3786,3782,3769,3758,3777,3786,3804,3815,3803,3802,3796,3796,3787,3805,3810,3808
Geothermal,753,753,753,753,754,753,753,753,753,752,752,753,754,755,754,755,755,755,755,756,755,756,757,756,757,757,758,758,757,758,759,759,759,760,761,762,762,762,762,762,762,762,762,762,761,762,762,762,761,760,758,759,758,758,759,759,759,759,759,760,759,761,761,760,760,760,760,759,759,758,759,761,762,763,763,763,761,764,764,762,764,764,763,764,763,763,764,763,762,762,762,762,762,762,762,761,761,761,761,761,760,760,759,759,758,758,780,803,801,801,803,755,755,754,754,753,753,753,753,752,752,751,750,751,750,751,750,751,751,751,751,751,751,751,751,750,750,749,749,749,750,749,748,748,748,748,747,748,748,748,748,747,745,744,743,742,743,742,743,743,743,743,742,742,745,744,745,744,745,744,743,743,743,742,742,741,735,738,739,741,741,740,739,739,739,738,738,738,738,738,737,737,737,737,737,738,738,739,740,740,740,741,739,741,739,741,745,745,745,745,745,745,746,746,746,745,747,746,747,748,749,750,751,752,752,753,753,754,753,753,753,753,751,751,752,752,751,752,753,754,753,754,755,753,754,754,754,753,753,753,753,753,754,755,754,755,755,755,756,757,758,759,760,760,761,761,760,760,760,761,761,762,764,765,765,766,767,767,767,766,767,766,767,768,768,768,768,768
Biomass,115,115,114,115,115,113,113,114,114,114,114,115,114,115,114,114,115,113,114,114,115,115,114,114,113,113,115,115,115,114,114,113,114,114,117,117,117,118,118,118,117,117,116,117,118,117,117,117,117,117,116,116,117,116,117,115,114,114,114,113,112,112,111,109,109,109,110,109,106,106,108,110,111,112,111,110,110,112,110,110,110,111,110,111,111,111,111,109,109,109,109,109,108,109,108,108,111,110,111,110,111,111,109,110,109,110,110,110,106,108,108,108,108,108,108,110,109,109,106,107,107,107,107,108,109,110,110,110,111,110,110,112,112,111,112,114,114,112,113,113,113,114,115,114,115,117,117,116,114,112,114,114,113,114,113,113,114,114,114,114,113,112,115,115,114,115,116,115,115,115,115,115,115,115,114,115,114,113,115,115,113,115,114,113,113,114,114,114,115,115,111,110,111,113,114,114,112,101,88,81,80,79,80,80,79,78,78,76,78,77,78,78,78,79,79,79,79,79,78,79,80,79,79,79,79,79,78,79,79,79,78,79,79,79,78,77,76,75,73,73,72,75,77,78,77,76,76,77,76,76,76,76,73,72,72,74,73,74,73,74,75,76,76,74,72,71,68,70,68,68,68,69,69,69,69,69,67,67,66,64,63,63,62,62,62,63,64,63
Biogas,171,174,172,173,174,173,173,173,173,173,173,174,174,174,173,174,173,173,173,173,173,173,173,173,173,171,167,160,154,148,148,149,149,148,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,149,150,149,149,149,149,150,150,150,149,150,150,149,150,149,149,150,150,149,149,148,148,150,149,149,148,148,148,150,149,149,149,150,149,149,149,149,149,149,148,148,149,148,148,151,148,148,148,148,148,148,148,149,148,147,147,150,147,147,147,147,147,147,147,147,147,150,147,147,147,147,146,146,146,146,146,146,146,146,146,148,147,146,145,146,147,146,146,147,147,147,147,148,147,147,147,147,147,146,146,147,146,145,145,145,145,145,145,146,145,146,146,145,145,145,146,147,146,147,146,146,147,150,146,147,146,147,146,147,146,147,147,148,146,147,146,147,146,149,146,146,146,146,146,146,146,146,147,146,146,146,146,146,145,145,147,147,147,146,146,146,146,148,146,147,145,145,146,146,146,146,145,145,145,146,145,145,146,145,145,147,147,146,146,147,146,146,146,147,147,147,146,146,146,146,147,146,146,145,146,145,146,146,145,145,145,145,145,145,145,145,145,145,145,146,145,145,145,146,145,146,145,146,146,146,146,146,145,145,145,145,144,145,145,145,144,145,145
Small hydro,272,275,276,276,277,278,277,277,277,277,276,276,277,277,277,277,277,277,276,277,277,278,277,276,276,277,277,278,278,277,277,277,277,278,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,277,278,277,277,278,277,277,277,277,278,278,278,278,278,278,278,278,277,277,277,276,278,291,290,290,290,290,289,288,288,289,289,288,277,270,265,263,262,263,263,263,263,263,263,263,259,257,257,257,255,254,253,253,253,253,253,253,253,253,253,252,253,253,253,253,253,253,253,252,246,245,246,245,245,246,245,245,245,245,246,245,245,245,245,245,245,245,245,245,245,245,245,245,245,246,246,245,245,244,245,245,246,246,245,246,245,245,245,245,244,245,245,246,245,244,245,245,245,244,244,244,244,244,244,243,243,243,243,244,244,252,256,255,256,256,256,255,256,256,256,255,255,256,255,255,255,256,255,255,256,256,256,255,257,258,258,258,259,259,259,259,259,259,259,258,258,256,257,258,258,257,257,257,257,257,257,258,257,272,276,276,277,277,277,277,277,276,277,276,275,260,257,257,257,257,256,255,255,255,255,255,256,255,255,255,255,255,255,255,255,255,255,255,256,255,255,256,255,255,255,255,255,255,255,255,255,256,256,255,255,255,255,255,255,256,255
