Renewables 04/15/2024undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55
Solar,-2,-7,-9,-7,-4,-1,-1,-2,-3,-2,3,3,3,5,3,1,-1,3,2,3,7,8,3,-3,-6,-11,-12,-11,-10,-11,-12,-15,-13,-6,-7,-9,-9,-10,-11,-16,-21,-17,-16,-17,-19,-22,-28,-35,-39,-39,-39,-39,-41,-43,-41,-42,-44,-45,-45,-43,-43,-44,-45,-44,-43,-43,-43,-42,-42,-45,-46,-45,-44,-42,-35,-15,24,123,300,557,908,1377,1895,2507,3153,3879,4657,5442,6275,7122,7952,8700,9255,9693,9763,10101,10736,11654,12158,12431,12574,12621,12636,13000,13355,13533,13643,13734,13957,13795,13930,14008,14112,14275,14426,14593,14647,14634,14641,14694,14824,14932,14972,14948,14931,14896,14646,14313,14149,14310,14415,14299,14386,14724,14985,14923,14642,14369,14434,14381,14298,14310,14353,14273,14331,14380,14454,14223,14165,14136,14038,14148,14044,13978,13913,13834,13889,13983,13990,13803,13958,14179,14071,14027,14035,13962,13869,13582,13210,12879,12789,12772,12821,12697,12533,12565,12603,12500,12267,12216,12190,12337,12217,12162,12076,11862,11719,11400,11348,11333,11233,11257,11335,11378,11317,11130,10979,11292,11593,12015,12111,12064,12287,12272,12078,11975,11477,11278,11374,11501,11700,11810,11803,11612,11407,10988,10187,9409,8402,7446,6709,5969,5138,4318,3532,2868,2301,1709,1205,797,529,323,181,109,74,51,38,31,26,20,16,21,25,27,30,33,40,50,56,63,72,75,76,82,91,83,71,68,66,76,80,82,76,80,82,83,80,66,57,54,56,49,44,40,33,34,46,49,50,68,73,74,68,67,65,64,66,62
Wind,4128,4153,4134,4104,4038,4002,3992,3963,3960,3964,3963,3962,3954,3938,3943,3937,3949,3990,3999,3988,3993,3982,4016,4054,4048,4040,4020,3994,3963,3954,3915,3898,3953,3995,3958,3913,3858,3757,3663,3594,3539,3495,3502,3550,3555,3536,3505,3488,3457,3391,3334,3294,3230,3174,3137,3125,3139,3153,3190,3206,3252,3247,3266,3299,3311,3332,3346,3358,3375,3389,3405,3415,3439,3447,3455,3482,3518,3548,3593,3662,3751,3814,3772,3701,3666,3705,3739,3787,3858,3855,3786,3759,3731,3727,3670,3658,3652,3616,3633,3660,3573,3485,3411,3373,3314,3176,3125,3125,3126,3097,3004,2909,2884,2942,2903,2901,2845,2905,2931,2978,3004,3061,3121,3152,3213,3199,3072,3047,3019,2995,2995,3059,3043,3048,3011,3006,2971,2979,2997,3000,2992,2940,2885,2878,2865,2832,2799,2755,2712,2624,2556,2505,2476,2486,2412,2306,2271,2261,2241,2258,2212,2204,2205,2234,2264,2345,2427,2525,2577,2598,2602,2630,2709,2750,2801,2864,2935,3033,3133,3202,3188,3194,3101,3070,3024,3014,3113,3157,3137,3108,3065,3024,2984,2924,2801,2719,2699,2637,2620,2594,2582,2580,2600,2606,2568,2562,2495,2478,2524,2654,2638,2593,2634,2578,2583,2587,2546,2533,2607,2623,2701,2751,2787,2826,2866,2865,2897,2955,3048,3157,3178,3206,3215,3237,3245,3249,3247,3202,3209,3215,3192,3170,3196,3179,3155,3138,3143,3140,3090,3055,3005,2954,2910,2838,2751,2721,2688,2675,2674,2661,2640,2641,2673,2676,2637,2561,2487,2474,2478,2478,2472,2450,2408,2358,2311,2286,2271,2260,2229,2230,2231,2239,2253,2257,2290,2282,2253,2233
Geothermal,774,774,774,774,775,775,775,775,774,774,775,774,774,774,774,773,773,772,773,773,773,773,773,773,773,773,774,773,774,774,773,774,774,774,773,773,773,774,774,773,773,773,773,773,774,774,773,774,773,773,773,773,772,772,773,773,772,771,773,772,773,774,772,773,774,772,772,772,772,773,773,773,773,774,774,774,775,774,774,774,773,773,774,773,775,774,760,775,774,774,774,774,772,773,772,773,774,773,773,773,772,773,773,773,773,772,771,772,772,772,771,771,770,770,770,770,769,769,768,767,768,768,768,768,769,768,767,766,767,766,766,766,763,764,764,765,765,765,760,754,755,754,754,753,752,750,751,750,749,748,747,748,748,747,747,747,748,748,754,762,770,770,772,773,774,773,773,773,772,772,774,776,779,780,779,779,780,779,779,778,778,779,779,779,780,779,777,777,776,774,777,777,778,778,778,778,778,778,778,778,777,777,778,778,778,779,779,780,780,780,781,781,781,780,781,781,781,781,781,781,781,781,781,781,781,780,781,781,781,781,782,783,783,784,784,784,784,785,785,785,785,785,785,785,785,786,785,785,785,784,783,784,784,784,784,784,784,785,786,786,786,786,786,787,787,787,788,787,788,788,787,786,787,787,787,787,787,786,787,787,786,786,787,786,786,785,786,785
Biomass,131,130,129,130,132,132,132,131,129,130,131,131,131,130,130,131,131,130,130,130,129,130,129,130,129,131,131,131,130,130,129,130,131,131,129,129,130,130,131,129,130,129,130,130,130,130,130,130,131,132,130,132,131,130,129,129,129,128,127,129,130,131,128,130,128,129,129,129,129,129,128,129,130,134,138,137,134,135,129,122,122,123,123,123,123,123,124,122,128,134,133,134,137,139,139,141,141,142,143,143,143,143,139,136,140,138,139,140,144,143,142,141,141,140,140,138,140,141,140,139,139,141,139,140,140,143,143,139,134,138,144,146,146,146,143,144,142,143,143,142,134,136,144,142,141,141,141,142,143,144,144,141,141,135,133,129,121,121,122,123,121,121,120,121,124,121,123,124,123,123,125,125,124,121,119,121,124,125,123,122,122,123,123,122,122,122,125,125,125,126,126,124,123,125,123,124,121,123,125,127,124,123,122,124,123,121,124,126,127,127,132,134,139,142,143,141,141,143,146,141,140,143,142,143,142,139,140,141,145,146,147,146,144,143,143,144,146,146,144,143,144,144,147,142,139,140,140,141,139,139,141,139,140,144,146,145,144,144,145,144,143,143,144,144,139,138,137,137,136,137,136,136,136,136,137,134,133,133,134,134,133,133,134,134,134,133,134,133
Biogas,146,147,147,147,147,146,146,146,147,146,146,146,146,147,147,146,146,146,146,146,147,146,147,147,147,147,147,147,147,147,147,147,147,147,147,147,146,147,147,147,147,147,147,147,148,148,148,147,147,147,147,148,148,148,148,148,147,148,147,148,147,147,147,147,147,147,147,147,147,146,146,146,146,144,143,143,144,143,144,142,140,141,141,140,141,141,140,140,140,140,140,140,140,140,140,140,141,139,139,140,142,140,141,141,142,141,141,140,140,140,141,140,140,140,141,140,139,139,139,140,140,140,139,139,140,140,140,139,140,140,140,140,140,140,142,143,143,143,143,143,143,143,143,144,143,143,143,143,143,143,144,143,143,144,144,145,151,151,151,152,152,153,153,153,153,153,155,154,153,154,153,153,153,153,154,153,153,153,154,152,152,153,153,153,151,151,151,150,151,151,151,150,151,150,151,147,147,148,148,149,149,150,152,150,149,150,151,150,150,150,149,150,149,150,150,150,150,149,150,152,157,155,156,159,158,158,158,159,158,155,158,158,158,158,159,158,158,158,159,159,159,159,158,159,158,159,159,159,159,159,159,159,159,158,159,158,159,160,158,158,158,157,157,157,157,158,157,157,157,157,158,158,158,160,158,159,159,161,163,167,169,168,168,167,168,167,167,167
Small hydro,258,250,247,247,248,248,248,247,247,247,247,247,247,247,247,247,247,247,247,247,248,247,247,247,247,247,247,247,247,248,248,248,248,248,247,248,248,248,247,248,247,247,247,247,247,247,247,247,247,247,247,248,248,248,248,248,247,248,247,247,247,256,257,257,258,257,258,258,257,258,259,258,257,257,265,264,264,264,264,264,263,263,263,264,263,264,264,265,265,265,265,264,264,264,264,264,265,263,254,252,252,252,253,253,252,253,253,252,252,245,242,241,241,241,241,240,240,240,240,240,240,240,239,239,239,238,238,239,239,239,239,238,241,240,240,239,240,239,239,239,239,239,243,243,244,244,243,245,245,245,244,244,243,244,243,243,244,243,243,243,244,244,244,244,243,243,243,243,243,245,254,259,259,259,259,260,259,259,259,260,258,256,257,257,257,259,259,260,260,259,259,261,260,260,260,260,260,261,261,261,260,261,260,260,259,260,261,262,263,262,262,262,262,263,262,263,263,266,265,265,265,265,266,265,266,266,266,266,266,269,273,274,275,275,273,271,271,271,271,272,271,271,270,271,271,270,271,270,269,270,270,270,270,270,271,271,271,270,271,271,271,271,271,271,271,269,261,261,260,260,259,260,260,261,261,261,260,260,259,259,259,259,259,259,260,260,261,260
