Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
23	Wisteria/BDEC-01 (Odyssey)	PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D	Information Technology Center, The University of Tokyo	Fujitsu	Japan	368,640	22,121.00	25,952.26	4,853,760	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
24	Marconi-100	IBM Power System AC922, IBM POWER9 16C 3GHz, Nvidia Volta V100, Dual-rail Mellanox EDR Infiniband	CINECA	IBM	Italy	347,776	21,640.00	29,354.00	2,722,137	IBM POWER9 16C 3GHz	RHEL 7.6	Linux	Nvidia Volta V100	16	IBM POWER9	Europe
25	Chervonenkis	YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband	Yandex	YANDEX, NVIDIA	Russia	193,440	21,530.00	29,415.17	3,926,016	AMD EPYC 7702 64C 2GHz	Ubuntu 16.04	Linux	NVIDIA A100 80GB​	64	AMD Rome	Europe
26	Piz Daint	Cray XC50, Xeon E5-2690v3 12C 2.6GHz, Aries interconnect , NVIDIA Tesla P100	Swiss National Supercomputing Centre (CSCS)	HPE	Switzerland	387,872	21,230.00	27,154.30	3,743,232	Xeon E5-2690v3 12C 2.6GHz	Cray Linux Environment 	Linux	NVIDIA Tesla P100	12	Intel Xeon E5 (Haswell)	Europe
27	Trinity	Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect	DOE/NNSA/LANL/SNL	HPE	United States	979,072	20,158.70	41,461.15	12,353,536	Intel Xeon Phi 7250 68C 1.4GHz	Cray Linux Environment 	Linux	None	68	Intel Xeon Phi	North America
28	ARCHER2	Cray XE, AMD EPYC 7742 64C 2.25GHz, Slingshot-10	EPSRC/University of Edinburgh	HPE	United Kingdom	716,800	19,539.00	25,804.00	5,816,959	AMD EPYC 7742 64C 2.25GHz	HPE Cray OS	Linux	None	64	AMD Rome	Europe
29	SuperMUC-NG	ThinkSystem SD650, Xeon Platinum 8174 24C 3.1GHz, Intel Omni-Path	Leibniz Rechenzentrum	Lenovo	Germany	305,856	19,476.60	26,873.86	8,402,688	Xeon Platinum 8174 24C 3.1GHz	SUSE Linux Enterprise Server 12 SP3	Linux	None	24	Xeon Platinum	Europe
30	Hawk	Apollo 9000, AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband	HLRS - Höchstleistungsrechenzentrum Stuttgart	HPE	Germany	698,880	19,334.00	25,159.68	9,984,000	AMD EPYC 7742 64C 2.25GHz	Tri-Lab Operating System 	Linux	None	64	AMD Rome	Europe
31	Ghawar-1	HPE Cray EX, AMD EPYC 7702 64C 2GHz, Slingshot-10	Saudi Aramco	HPE	Saudi Arabia	714,240	19,256.00	22,855.68	9,791,600	AMD EPYC 7702 64C 2GHz	SLES15 SP2	Linux	None	64	AMD Rome	Asia
32	Frontier TDS	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/SC/Oak Ridge National Laboratory	HPE	United States	120,832	19,200.00	23,105.54	2,875,392	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	North America
33	Pégaso	Supermicro A+ Server 4124GO-NART+, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100, Infiniband HDR	Petróleo Brasileiro S.A	Atos	Brazil	233,856	19,070.00	41,995.70	4,428,288	AMD EPYC 7513 32C 2.6GHz	CentOS	Linux	NVIDIA A100	32	AMD Milan	South America
34	Lassen	IBM Power System AC922, IBM POWER9 22C 3.1GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Tesla V100	DOE/NNSA/LLNL	IBM / NVIDIA / Mellanox	United States	288,288	18,200.00	23,047.20	5,059,584	IBM POWER9 22C 3.1GHz	Red Hat Enterprise Linux	Linux	NVIDIA Tesla V100	22	IBM POWER9	North America
35	Guru	ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR	Korea Meteorological Administration	Lenovo	South Korea	306,432	18,002.80	25,495.14	8,239,104	Xeon Platinum 8368Q 38C 2.6GHz	Linux	Linux	None	38	Xeon® Platinum 83xx (Ice Lake)	Asia
36	Maru	ThinkSystem SD650 V2, Xeon Platinum 8368Q 38C 2.6GHz, Infiniband HDR	Korea Meteorological Administration	Lenovo	South Korea	306,432	18,002.80	25,495.14	8,239,104	Xeon Platinum 8368Q 38C 2.6GHz	Linux	Linux	None	38	Xeon® Platinum 83xx (Ice Lake)	Asia
37	PANGEA III	IBM Power System AC922, IBM POWER9 18C 3.45GHz, Dual-rail Mellanox EDR Infiniband, NVIDIA Volta GV100	Total Exploration Production	IBM	France	291,024	17,860.00	25,025.81	5,760,000	IBM POWER9 18C 3.45GHz	RHEL 7.6	Linux	NVIDIA Volta GV100	18	IBM POWER9	Europe
38	HiPerGator AI	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR	University of Florida	Nvidia	United States	138,880	17,200.00	21,314.72	3,450,528	AMD EPYC 7742 64C 2.25GHz	Red Hat Enterprise Linux	Linux	NVIDIA A100	64	AMD Rome	North America
39	TOKI-SORA	PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D	Japan Aerospace eXploration Agency	Fujitsu	Japan	276,480	16,592.00	19,464.20	4,208,640	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
40	Pioneer-EUS	NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR	Azure East US	Microsoft Azure	United States	157,440	16,590.00	24,557.23	2,621,376	AMD EPYC 7V12 48C 2.45GHz	Ubuntu 16.04.3 LTS	Linux	NVIDIA A100	48	AMD Rome	North America
41	Pioneer-SCUS	NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR	Azure South Central US	Microsoft Azure	United States	157,440	16,590.00	24,557.23	2,621,376	AMD EPYC 7V12 48C 2.45GHz	Ubuntu 16.04.3 LTS	Linux	NVIDIA A100	48	AMD Rome	North America
42	Pioneer-WEU	NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR	Azure West Europe	Microsoft Azure	Netherlands	157,440	16,590.00	24,557.23	2,621,376	AMD EPYC 7V12 48C 2.45GHz	Ubuntu 16.04.3 LTS	Linux	NVIDIA A100	48	AMD Rome	Europe
43	Pioneer-WUS2	NDv4 cluster, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100, Infiniband HDR	Azure West US 2	Microsoft Azure	United States	157,440	16,590.00	24,557.23	2,621,376	AMD EPYC 7V12 48C 2.45GHz	Ubuntu 16.04.3 LTS	Linux	NVIDIA A100	48	AMD Rome	North America
44	Galushkin	YANDEX Y4N-GA1-TY25-ZB0, AMD EPYC 7702 64C 2GHz, NVIDIA A100 80GB​, Infiniband	Yandex	YANDEX, NVIDIA	Russia	134,912	16,020.00	20,636.10	3,321,216	AMD EPYC 7702 64C 2GHz	Ubuntu 16.04	Linux	NVIDIA A100 80GB​	64	AMD Rome	Europe
45	Cori	Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect 	DOE/SC/LBNL/NERSC	HPE	United States	622,336	14,014.70	27,880.65	6,984,960	Intel Xeon Phi 7250 68C 1.4GHz	Cray Linux Environment 	Linux	None	68	Intel Xeon Phi	North America
46	Nurion	Cray CS500, Intel Xeon Phi 7250 68C 1.4GHz, Intel Omni-Path	Korea Institute of Science and Technology Information	HPE	South Korea	570,020	13,929.30	25,705.90	10,076,976	Intel Xeon Phi 7250 68C 1.4GHz	CentOS	Linux	None	68	Intel Xeon Phi	Asia
47	Lyapunov	Inspur NF5488A5, AMD EPYC 7662 64C 2GHz, NVIDIA A100 40GB, Infiniband	Yandex	NVIDIA, Inspur	Russia	130,944	12,810.00	20,029.19	2,315,808	AMD EPYC 7662 64C 2GHz	Ubuntu 16.04	Linux	NVIDIA A100 40GB	64	AMD Rome	Europe
48	HPC4	Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100	Eni S.p.A.	HPE	Italy	253,600	12,210.00	18,621.14	5,947,392	Xeon Platinum 8160  24C 2.1GHz	RHEL 7.4	Linux	NVIDIA Tesla P100	24	Xeon Platinum	Europe
49	Tera-1000-2	Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2	Commissariat a l'Energie Atomique (CEA)	Atos	France	561,408	11,965.50	23,396.35	10,321,920	Intel Xeon Phi 7250 68C 1.4GHz	bullx SCS	Linux	None	68	Intel Xeon Phi	Europe
50	Christofari Neo	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband	SberCloud	Nvidia	Russia	98,208	11,950.00	14,908.61	2,889,216	AMD EPYC 7742 64C 2.25GHz	NVIDIA DGX OS 5	Linux	NVIDIA A100 80GB​	64	AMD Rome	Europe
51	Stampede2	PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path	Texas Advanced Computing Center/Univ. of Texas	DELL EMC	United States	367,024	10,680.70	18,309.22	8,242,944	Intel Xeon Phi 7250 68C 1.4GHz	CentOS	Linux	None	68	Intel Xeon Phi	North America
52	MeluXina - Accelerator Module	BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite	LuxProvide	Atos	Luxembourg	99,200	10,520.00	15,288.00	2,040,192	AMD EPYC 7452 32C 2.35GHz	RHEL compatible	Linux	NVIDIA A100 40GB	32	AMD Rome	Europe
53	Levante	BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100	DKRZ - Deutsches Klimarechenzentrum	Atos	Germany	352,000	10,111.00	13,798.40	5,280,000	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Milan	Europe
54	Cactus	HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10	GDIT/NOAA/WCOSS	HPE	United States	327,680	10,013.00	11,796.48	8,413,184	AMD EPYC 7742 64C 2.25GHz	HPE Cray OS	Linux	None	64	AMD Rome	North America
55	Dogwood	HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10	GDIT/NOAA/WCOSS	HPE	United States	327,680	10,013.00	11,796.48	8,413,184	AMD EPYC 7742 64C 2.25GHz	HPE Cray OS	Linux	None	64	AMD Rome	North America
56	Earth Simulator -SX-Aurora TSUBASA	SX-Aurora TSUBASA B401-8, Vector Engine Type20B 8C 1.6GHz, Infiniband HDR200	Japan Agency for Marine-Earth Science and Technology	NEC	Japan	43,776	9,990.70	13,447.99	5,571,072	Vector Engine Type20B 8C 1.6GHz	VEOS	Linux	None	8	Vector Engine	Asia
57	Amazon EC2 Instance Cluster us-east-1a	Amazon EC2 r5.24xlarge, Xeon Platinum 8260 24C 2.4GHz, 25G Ethernet	Descartes Labs	Amazon Web Services	United States	172,692	9,950.26	15,106.52	7,864,320	Xeon Platinum 8124M 18C 3GHz	Amazon Linux 2	Linux	None	18	Xeon Platinum	North America
58	NVIDIA Cambridge-1 DGX SuperPOD	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband HDR	NVIDIA Corporation	Nvidia	United States	79,360	9,682.00	12,047.00	2,515,968	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100 80GB​	64	AMD Rome	North America
59		Apollo 6500, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband	Research Institute	HPE	Japan	72,384	9,459.00	9,669.30	2,505,216	AMD  EPYC 7543 32C 2.8GHz	RHEL 8.4	Linux	NVIDIA A100 SXM4 80 GB	32	AMD Milan	Asia
60	DGX SuperPOD	NVIDIA DGX-2H, Xeon Platinum 8174 24C 3.1GHz, NVIDIA Tesla V100, Mellanox InfiniBand EDR	NVIDIA Corporation	Nvidia	United States	127,488	9,444.00	11,209.11	2,519,232	Xeon Platinum 8174 24C 3.1GHz	Ubuntu 18.04.01	Linux	NVIDIA Tesla V100	24	Xeon Platinum	North America
61	JURECA Data Centric Module	BullSequana XH2000, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite	Forschungszentrum Juelich (FZJ)	Atos	Germany	105,840	9,330.00	14,508.00	1,928,448	AMD EPYC 7742 64C 2.25GHz	CentOS	Linux	NVIDIA A100 40GB	64	AMD Rome	Europe
62	Gadi	PRIMERGY CX2570 M5, ThinkSystem SD650, Xeon Platinum 8274/8268, NVIDIA Tesla V100 SXM2, Mellanox HDR Infiniband	National Computational Infrastructure (NCI Australia)	Fujitsu / Lenovo	Australia	204,032	9,264.31	15,142.20	7,150,464	Xeon Platinum 8274 24C 3.2GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	24	Xeon Platinum 82xx (Cascade Lake)	Oceania
63	Aitken	HPE Apollo 9000/HPE SGI 8600, AMD EPYC 7742 64C 2.25GHz/Intel Xeon Gold 6248 20C 2.5GHz, Mellanox EDR/HDR Infiniband	NASA/Ames Research Center/NAS	HPE	United States	293,936	9,070.00	12,493.06	8,229,600	AMD EPYC 7742 64C 2.25GHz	Tri-Lab Operating System 	Linux	None	64	AMD Rome	North America
64	Taiwania 2	QCT QuantaGrid D52G-4U/LC, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2	National Center for High Performance Computing	Quanta Computer / Taiwan Fixed Network / ASUS Cloud	Taiwan	170,352	9,000.00	15,208.23	2,862,720	Xeon Gold 6154 18C 3GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	18	Xeon Gold	Asia
65	Dragão	Supermicro SYS-4029GP-TVRT, Xeon Gold 6230R 26C 2.1GHz, NVIDIA Tesla V100, Infiniband EDR	Petróleo Brasileiro S.A	Atos	Brazil	188,224	8,983.00	14,006.48	2,913,408	Xeon Gold 6230R 26C 2.1GHz	CentOS Linux 7	Linux	NVIDIA Tesla V100	26	Xeon Gold 62xx (Cascade Lake)	South America
66	Raven-GPU	ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Mellanox HDR Infiniband	Max-Planck-Gesellschaft MPI/IPP	Lenovo	Germany	96,768	8,620.00	16,031.54	1,959,552	Xeon Platinum 8360Y 36C 2.4GHz	SUSE Linux Enterprise Server 15 SP2	Linux	NVIDIA A100	36	Xeon® Platinum 83xx (Ice Lake)	Europe
67	AiMOS	IBM Power System AC922, IBM POWER9 20C 3.45GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband	Rensselaer Polytechnic Institute Center for Computational Innovations (CCI)	IBM	United States	130,000	8,339.00	11,032.03	3,809,280	IBM POWER9 20C 3.45GHz	RHEL 7.6	Linux	NVIDIA Volta GV100	20	IBM POWER9	North America
68	Dardel GPU	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	KTH - Royal Institute of Technology	HPE	Sweden	52,864	8,259.00	10,207.23	1,911,168	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	Europe
69	Taranis	Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox InfiniBand HDR100	Meteo France	Atos	France	294,912	8,191.03	10,321.92	7,741,440	AMD EPYC 7742 64C 2.25GHz	bullx SCS	Linux	None	64	AMD Rome	Europe
70	LANTA	HPE Cray EX235n, AMD EPYC 7713 64C 2GHz, NVIDIA A100 40GB, Slingshot-11	NSTDA Supercomputer Center (ThaiSC)	HPE	Thailand	87,296	8,146.00	13,773.06	1,891,488	AMD EPYC 7713 64C 2GHz	HPE Cray OS	Linux	NVIDIA A100 40GB	64	AMD Milan	Asia
71	TSUBAME3.0	SGI ICE XA, IP139-SXM2, Xeon E5-2680v4 14C 2.4GHz, Intel Omni-Path, NVIDIA Tesla P100 SXM2	GSIC Center, Tokyo Institute of Technology	HPE	Japan	135,828	8,125.00	12,127.07	2,126,208	Xeon E5-2680v4 14C 2.4GHz	SUSE Linux Enterprise Server 12 SP1	Linux	NVIDIA Tesla P100 NVLink	14	Intel Xeon E5 (Broadwell)	Asia
72	Roxy	Apollo 2000, Xeon Gold 6248 20C 2.5GHz, Infiniband EDR	Government	HPE	United States	174,720	8,124.48	13,977.60	4,744,704	Xeon Gold 6248 20C 2.5GHz	CentOS Linux 7	Linux	None	20	Xeon Gold 62xx (Cascade Lake)	North America
73	HoreKa-Green	ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband	Karlsruher Institut für Technologie (KIT) 	Lenovo	Germany	90,932	8,025.60	15,006.79	1,915,200	Xeon Platinum 8368 38C 2.4GHz	Linux	Linux	NVIDIA A100 40GB	38	Xeon® Platinum 83xx (Ice Lake)	Europe
74	Narwhal	HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10	Navy DSRC	HPE	United States	276,480	8,023.60	11,501.57	7,705,360	AMD EPYC 7H12 64C 2.6GHz	SLES15 SP2	Linux	None	64	AMD Rome	North America
75	Plasma Simulator	SX-Aurora TSUBASA A412-8, Vector Engine Type10AE 8C 1.58GHz, Infiniband HDR 200	National Institute for Fusion Science (NIFS)	NEC	Japan	34,560	7,892.70	10,510.66	5,047,920	Vector Engine Type10AE 8C 1.58GHz	VEOS	Linux	None	8	Vector Engine	Asia
76	Underhill	ThinkSystem SD650 V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR	Shared Services Canada	Lenovo	Canada	148,320	7,764.57	10,916.35	3,745,152	Xeon Platinum 8380 40C 2.3GHz	Linux	Linux	None	40	Xeon® Platinum 83xx (Ice Lake)	North America
77	Robert	ThinkSystem SD650-N V2, Xeon Platinum 8380 40C 2.3GHz, Infiniband HDR	Shared Services Canada	Lenovo	Canada	148,320	7,764.57	10,916.35	3,745,152	Xeon Platinum 8380 40C 2.3GHz	Linux	Linux	None	40	Xeon® Platinum 83xx (Ice Lake)	North America
78	Belenos	Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR100	Meteo France	Atos	France	294,912	7,683.36	10,469.38	6,843,840	AMD EPYC 7742 64C 2.25GHz	bullx SCS	Linux	None	64	AMD Rome	Europe
79	alpha ONE	Apollo 6500, AMD EPYC 7F52 16C 3.5GHz, NVIDIA A100 SXM4 80 GB, Mellanox HDR Infiniband	Aleph Alpha	HPE	Germany	57,344	7,625.00	7,864.83	1,990,656	AMD EPYC 7F52 16C 3.5GHz	RHEL 8.5	Linux	NVIDIA A100 SXM4 80 GB	16	AMD Rome	Europe
80	PupMaya	Apollo 2000, Xeon Gold 6148 20C 2.4GHz, Infiniband EDR	Government	HPE	United States	169,920	7,483.73	12,902.40	4,748,928	Xeon Gold 6148 20C 2.4GHz	CentOS Linux 7	Linux	None	20	Xeon Gold	North America
