Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
1	Frontier	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/SC/Oak Ridge National Laboratory	HPE	United States	8,730,112	1,102,000.00	1,685,651.46	24,440,832	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	North America
2	Supercomputer Fugaku	Supercomputer Fugaku, A64FX 48C 2.2GHz, Tofu interconnect D	RIKEN Center for Computational Science	Fujitsu	Japan	7,630,848	442,010.00	537,212.00	21,288,960	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
3	LUMI	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	EuroHPC/CSC	HPE	Finland	2,220,288	309,100.00	428,703.74	12,434,688	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	Europe
4	Leonardo	BullSequana XH2000, Xeon Platinum 8358 32C 2.6GHz, NVIDIA A100 SXM4 64 GB, Quad-rail NVIDIA HDR100 Infiniband	EuroHPC/CINECA	Atos	Italy	1,463,616	174,700.00	255,751.37	9,765,504	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	NVIDIA A100 SXM4 64 GB	32	Xeon® Platinum 83xx (Ice Lake)	Europe
5	Summit	IBM Power System AC922, IBM POWER9 22C 3.07GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband	DOE/SC/Oak Ridge National Laboratory	IBM	United States	2,414,592	148,600.00	200,794.88	16,473,600	IBM POWER9 22C 3.07GHz	RHEL 7.4	Linux	NVIDIA Volta GV100	22	IBM POWER9	North America
6	Sierra	IBM Power System AC922, IBM POWER9 22C 3.1GHz, NVIDIA Volta GV100, Dual-rail Mellanox EDR Infiniband	DOE/NNSA/LLNL	IBM / NVIDIA / Mellanox	United States	1,572,480	94,640.00	125,712.00	11,902,464	IBM POWER9 22C 3.1GHz	Red Hat Enterprise Linux	Linux	NVIDIA Volta GV100	22	IBM POWER9	North America
7	Sunway TaihuLight	Sunway MPP, Sunway SW26010 260C 1.45GHz, Sunway	National Supercomputing Center in Wuxi	NRCPC	China	10,649,600	93,014.59	125,435.90	12,288,000	Sunway SW26010 260C 1.45GHz	Sunway RaiseOS 2.0.5	Linux	None	260	Sunway	Asia
8	Perlmutter	HPE Cray EX235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10	DOE/SC/LBNL/NERSC	HPE	United States	761,856	70,870.00	93,750.00	5,566,464	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Milan	North America
9	Selene	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband	NVIDIA Corporation	Nvidia	United States	555,520	63,460.00	79,215.00	6,598,656	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100	64	AMD Rome	North America
10	Tianhe-2A	TH-IVB-FEP Cluster, Intel Xeon E5-2692v2 12C 2.2GHz, TH Express-2, Matrix-2000	National Super Computer Center in Guangzhou	NUDT	China	4,981,760	61,444.50	100,678.66	9,773,000	Intel Xeon E5-2692v2 12C 2.2GHz	Kylin Linux	Linux	Matrix-2000	12	Intel Xeon E5 (IvyBridge)	Asia
11	Adastra	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprieur (GENCI-CINES)	HPE	France	319,072	46,100.00	61,607.94	4,492,800	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	Europe
12	JUWELS Booster Module	Bull Sequana XH2000 , AMD EPYC 7402 24C 2.8GHz, NVIDIA A100, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite	Forschungszentrum Juelich (FZJ)	Atos	Germany	449,280	44,120.00	70,980.00	4,315,584	AMD EPYC 7402 24C 2.8GHz	CentOS	Linux	NVIDIA A100	24	AMD Rome	Europe
13	HPC5	PowerEdge C4140, Xeon Gold 6252 24C 2.1GHz, NVIDIA Tesla V100, Mellanox HDR Infiniband	Eni S.p.A.	DELL EMC	Italy	669,760	35,450.00	51,720.76	5,750,784	Xeon Gold 6252 24C 2.1GHz	CentOS Linux 7	Linux	NVIDIA Tesla V100	24	Xeon Gold 62xx (Cascade Lake)	Europe
14	Voyager-EUS2	ND96amsr_A100_v4, AMD EPYC 7V12 48C 2.45GHz, NVIDIA A100 80GB​, Mellanox HDR Infiniband	Azure East US 2	Microsoft Azure	United States	253,440	30,050.00	39,531.15	4,669,056	AMD EPYC 7V12 48C 2.45GHz	Ubuntu 18.04 LTS	Linux	NVIDIA A100 80GB​	48	AMD Rome	North America
15	Setonix – GPU	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	Pawsey Supercomputing Centre, Kensington, Western Australia	HPE	Australia	181,248	27,160.00	34,996.22	3,538,944	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Milan	Oceania
16	Discovery 5	HPE Cray EX235n, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11	ExxonMobil	HPE	United States	232,000	26,130.00	30,990.80	3,136,100	AMD  EPYC 7543 32C 2.8GHz	HPE Cray OS	Linux	NVIDIA A100 SXM4 40 GB	32	AMD Milan	North America
17	Polaris	Apollo 6500, AMD EPYC 7532 32C 2.4GHz, NVIDIA A100 SXM4 40 GB, Slingshot-10	DOE/SC/Argonne National Laboratory	HPE	United States	256,592	25,810.00	34,163.19	3,397,536	AMD EPYC 7532 32C 2.4GHz	SLES15 SP2	Linux	NVIDIA A100 SXM4 40 GB	32	AMD Rome	North America
18	SSC-21	Apollo 6500 Gen10 plus, AMD  EPYC 7543 32C 2.8GHz, NVIDIA A100 80GB​, Infiniband HDR200	Samsung Electronics	HPE	South Korea	204,160	25,177.00	31,751.10	4,130,000	AMD  EPYC 7543 32C 2.8GHz	RHEL 8.3	Linux	NVIDIA A100 80GB​	32	AMD Milan	Asia
19	Frontera	Dell C6420, Xeon Platinum 8280 28C 2.7GHz, Mellanox InfiniBand HDR	Texas Advanced Computing Center/Univ. of Texas	DELL EMC	United States	448,448	23,516.40	38,745.91	9,262,848	Xeon Platinum 8280 28C 2.7GHz	CentOS Linux 7	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
20	CEA-HF	BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, Atos BXI V2	Commissariat a l'Energie Atomique (CEA)	Atos	France	810,240	23,237.60	31,761.40	12,153,600	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Milan	Europe
21	Dammam-7	Cray CS-Storm, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, InfiniBand HDR 100	Saudi Aramco	HPE	Saudi Arabia	672,520	22,400.00	55,423.56	5,696,640	Xeon Gold 6248 20C 2.5GHz	RHEL 7.7	Linux	NVIDIA Tesla V100 SXM2	20	Xeon Gold 62xx (Cascade Lake)	Asia
22	ABCI 2.0	PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR	National Institute of Advanced Industrial Science and Technology (AIST)	Fujitsu	Japan	504,000	22,208.72	54,340.99	3,435,000	Xeon Gold 6148 20C 2.4GHz	Linux	Linux	NVIDIA Tesla V100 SXM2	20	Xeon Gold	Asia
