Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
65	HPC4	Proliant DL380 Gen10, Xeon Platinum 8160  24C 2.1GHz, Mellanox InfiniBand EDR, NVIDIA Tesla P100	Eni S.p.A.	HPE	Italy	253,600	12,210.00	18,621.14	5,947,392	Xeon Platinum 8160  24C 2.1GHz	RHEL 7.4	Linux	NVIDIA Tesla P100	24	Xeon Platinum (Skylake)	Europe
66	Tera-1000-2	Bull Sequana X1000, Intel Xeon Phi 7250 68C 1.4GHz, Bull BXI 1.2	Commissariat a l'Energie Atomique (CEA)	EVIDEN	France	561,408	11,965.50	23,396.35	10,321,920	Intel Xeon Phi 7250 68C 1.4GHz	bullx SCS	Linux	None	68	Intel Xeon Phi	Europe
67	Christofari Neo	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 80GB​, Infiniband	SberCloud	Nvidia	Russia	98,208	11,950.00	14,908.61	2,889,216	AMD EPYC 7742 64C 2.25GHz	NVIDIA DGX OS 5	Linux	NVIDIA Tesla A100 80G	64	AMD Zen-2 (Rome)	Europe
68	Kestrel CPU	HPE Cray EX, Xeon Platinum 8470Q 52C 2.1GHz, Slingshot-11	National Renewable Energy Laboratory	HPE	United States	212,992	11,372.20	14,313.06	6,291,456	Xeon Platinum 8470Q 52C 2.1GHz	RHEL 8.6	Linux	None	52	Xeon Platinum (Sapphire Rapids)	North America
69		PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D	Central Weather Administration	Fujitsu	Taiwan	184,320	11,164.00	12,976.13	3,502,080	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
70	Stampede2	PowerEdge C6320P/C6420, Intel Xeon Phi 7250 68C 1.4GHz/Platinum 8160, Intel Omni-Path	Texas Advanced Computing Center/Univ. of Texas	DELL EMC	United States	367,024	10,680.70	18,309.22	8,242,944	Intel Xeon Phi 7250 68C 1.4GHz	CentOS	Linux	None	68	Intel Xeon Phi	North America
71	MeluXina - Accelerator Module	BullSequana XH2000, AMD EPYC 7452 32C 2.35GHz, NVIDIA A100 40GB, Mellanox HDR InfiniBand/ParTec ParaStation ClusterSuite	LuxProvide	EVIDEN	Luxembourg	99,200	10,520.00	15,288.00	2,040,192	AMD EPYC 7452 32C 2.35GHz	RHEL compatible	Linux	NVIDIA Tesla A100 40G	32	AMD Zen-2 (Rome)	Europe
72	KT DGX SuperPOD	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR	Korea Telecom	Nvidia	South Korea	98,208	10,380.00	14,416.00	2,009,952	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.2 LTS	Linux	NVIDIA A100	64	AMD Zen-2 (Rome)	Asia
73	Derecho CPU partition	HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11	National Center for Atmospheric Research (NCAR)	HPE	United States	316,416	10,324.00	12,403.51	7,987,200	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	None	64	AMD Zen-3 (Milan)	North America
74	Levante	BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100	DKRZ - Deutsches Klimarechenzentrum	EVIDEN	Germany	352,000	10,111.00	13,798.40	5,280,000	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	Europe
