Rank	Name	Computer	Site	Manufacturer	Country	Total Cores	Rmax [TFlop/s]	Rpeak [TFlop/s]	Nmax	Processor	Operating System	OS Family	Accelerator/Co-Processor	Cores per Socket	Processor Generation	Continent
126	DAIDC	Apollo 6500, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR	Government	HPE	South Korea	54,720	6,183.00	7,413.22	2,224,512	AMD EPYC 74F3 24C 3.2GHz	RHEL 8.6	Linux	NVIDIA A100 SXM4 80 GB	24	AMD Zen-3 (Milan)	Asia
127	JUWELS Module 1	Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR InfiniBand/ParTec ParaStation ClusterSuite	Forschungszentrum Juelich (FZJ)	EVIDEN	Germany	114,480	6,177.73	9,891.07	4,996,992	Xeon Platinum 8168 24C 2.7GHz	CentOS	Linux	None	24	Xeon Platinum (Skylake)	Europe
128		HPE SGI 8600, Xeon Gold 6248R 24C 3GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR	Japan Atomic Energy Agency(JAEA)/ National Institutes for Quantum and Radiological Science and Technology(QST)	HPE	Japan	100,096	6,162.00	8,439.62	2,128,128	Xeon Gold 6248R 24C 3GHz	RHEL 7.7	Linux	NVIDIA Tesla V100 SXM2	24	Xeon Gold 62xx (Cascade Lake)	Asia
129	LLNL/NNSA CTS-2 Bengal	DELL PowerEdge C6620, Xeon Platinum 8480+ 56C 2GHz, Cornelis Networks Omni-Path	Lawrence Livermore National Laboratory	DELL EMC	United States	107,520	6,134.00	6,880.00	4,976,640	Xeon Platinum 8480+ 56C 2GHz	Linux/TOSS	Linux	None	56	Xeon Platinum (Sapphire Rapids)	North America
130	SQUID - CPU Nodes	NEC LX 103Bj-8, Xeon Platinum 8368 38C 2.4GHz, Infiniband HDR200	Osaka University	NEC	Japan	115,520	6,105.10	8,871.94	6,558,880	Xeon Platinum 8368 38C 2.4GHz	CentOS	Linux	None	38	Xeon Platinum 83xx (Ice Lake)	Asia
131	Lise	Bull intel Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path	HLRN at ZIB/Konrad Zuse-Zentrum Berlin	EVIDEN	Germany	121,920	6,048.26	8,930.92	6,935,040	Intel Xeon Platinum 9242 48C 2.3GHz	CentOS	Linux	None	48	Xeon Platinum 92xx (Cascade Lake)	Europe
132	Pleiades	SGI ICE X, Intel Xeon E5-2670/E5-2680v2/E5-2680v3/E5-2680v4  2.6/2.8/2.5/2.4 GHz, Infiniband FDR	NASA/Ames Research Center/NAS	HPE	United States	241,108	5,951.55	7,107.15	6,500,160	Intel Xeon E5-2680v2  10C 2.8GHz	SUSE Linux Enterprise Server 11	Linux	None	10	Intel Xeon E5 (IvyBridge)	North America
133	Emmy+	BullSequana X, Intel Xeon Platinum 9242/Gold 6148, Intel Omni-Path	HLRN+ at GWDG/University of Göttingen	EVIDEN	Germany	120,296	5,948.80	8,911.26	7,253,376	Intel Xeon Platinum 9242 48C 2.3GHz	Linux	Linux	None	48	Xeon Platinum 92xx (Cascade Lake)	Europe
134	Narval (GPU)	PowerEdge XE8545, AMD EPYC 7413 24C 2.65GHz, NVIDIA A100, InfiniBand HDR100	Calcul Québec/Compute Canada	DELL EMC	Canada	76,320	5,886.00	12,165.35	1,769,472	AMD EPYC 7413 24C 2.65GHz	Rocky Linux 8.4	Linux	NVIDIA A100	24	AMD Zen-3 (Milan)	North America
135	Sawtooth	HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR/HDR 	Idaho National Laboratory	HPE	United States	99,792	5,780.62	9,220.61	6,532,608	Xeon Platinum 8268 24C 2.9GHz	RHEL 7.6	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	North America
136		Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect 	Japan Meteorological Agency	Cray Inc./Hitachi	Japan	135,792	5,730.50	9,125.22	5,667,840	Xeon Platinum 8160  24C 2.1GHz	Cray Linux Environment 	Linux	None	24	Xeon Platinum (Skylake)	Asia
137		Cray XC50, Xeon Platinum 8160  24C 2.1GHz, Aries interconnect 	Japan Meteorological Agency	Cray Inc./Hitachi	Japan	135,792	5,730.50	9,125.22	5,667,840	Xeon Platinum 8160  24C 2.1GHz	Cray Linux Environment 	Linux	None	24	Xeon Platinum (Skylake)	Asia
138	COBRA	Intel Compute Module HNS2600BP, Xeon Gold 6148 20C 2.4GHz, Intel Omni-Path	Max-Planck-Gesellschaft MPI/IPP	Intel	Germany	127,520	5,612.83	9,793.54	5,213,184	Xeon Gold 6148 20C 2.4GHz	SUSE Linux Enterprise Server 12 SP1	Linux	None	20	Xeon Gold (Skylake)	Europe
139		SX-Aurora TSUBASA C401-8, Vector Engine Type30A 16C 1.6GHz, InfiniBand NDR 200	Deutscher Wetterdienst	NEC	Germany	28,352	5,604.10	8,506.80	4,327,140	Vector Engine Type10AE 8C 1.58GHz	VEOS	Linux	None	8	Vector Engine	Europe
140		PRIMEHPC FX1000, A64FX 48C 2.2GHz, Tofu interconnect D	Central Weather Administration	Fujitsu	Taiwan	92,160	5,600.60	6,488.06	2,457,600	A64FX 48C 2.2GHz	Red Hat Enterprise Linux	Linux	None	48	Fujitsu A64FX	Asia
141	Shaheen II	Cray XC40, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect 	King Abdullah University of Science and Technology	HPE	Saudi Arabia	196,608	5,536.99	7,235.17	9,738,048	Xeon E5-2698v3 16C 2.3GHz	Cray Linux Environment 	Linux	None	16	Intel Xeon E5 (Haswell)	Asia
142	Grete	MEGWARE GPU Server System, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR	NHR@Göttingen	MEGWARE	Germany	49,600	5,458.00	7,904.92	1,392,384	AMD EPYC 7513 32C 2.6GHz	Rocky Linux 8.6	Linux	NVIDIA A100 SXM4 80 GB	32	AMD Zen-3 (Milan)	Europe
143	Electra	HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB	NASA/Ames Research Center/NAS	HPE	United States	124,416	5,444.64	8,316.52	6,931,200	Xeon Gold 6148 20C 2.4GHz	SLES12 SP2	Linux	None	20	Xeon Gold (Skylake)	North America
144	Raven	ThinkSystem SD650 V2, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR 100	Max-Planck-Gesellschaft MPI/IPP	Lenovo	Germany	114,624	5,415.98	8,803.12	4,128,768	Xeon Platinum 8360Y 36C 2.4GHz	SUSE Linux Enterprise Server 15 SP2	Linux	None	36	Xeon Platinum 83xx (Ice Lake)	Europe
145	Snellius Phase 2 CPU	ThinkSystem SD665 V3, AMD EPYC 9654 96C 2.4GHz, Infiniband NDR200	SURF	Lenovo	Netherlands	150,912	5,404.20	5,713.92	5,658,240	AMD EPYC 9654 96C 2.4GHz	RHEL 8.6	Linux	None	96	AMD Zen-4 (Genoa)	Europe
146	rzVernal	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/NNSA/LLNL	HPE	United States	35,872	5,401.00	6,917.82	1,575,936	AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Zen-3 (Milan)	North America
147	MAHTI	Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100	CSC (Center for Scientific Computing)	EVIDEN	Finland	169,728	5,388.52	7,060.68	6,362,304	AMD Rome 7H12 64C 2.6GHz	bullx SCS	Linux	None	64	AMD Zen-2 (Rome)	Europe
148	NA5	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	268,928	5,313.16	10,541.98	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
149	NA5A	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	268,928	5,313.16	10,541.98	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
150	Pangea	SGI ICE X, Xeon Xeon E5-2670/ E5-2680v3 12C 2.5GHz, Infiniband FDR	Total Exploration Production	HPE	France	220,800	5,283.11	6,712.32	4,919,040	Xeon E5-2680v3 12C 2.5GHz	SUSE Linux Enterprise Server 11	Linux	None	12	Intel Xeon E5 (Haswell)	Europe
151	Berzelius	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Infiniband HDR	National Supercomputer Centre (NSC)	EVIDEN	Sweden	59,520	5,253.00	9,636.48	1,536,000	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.2 LTS	Linux	NVIDIA A100	64	AMD Zen-2 (Rome)	Europe
152	DiRAC, Tursa	BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband	University of Edinburgh	EVIDEN	United Kingdom	55,552	5,228.00	8,580.00	1,457,280	AMD EPYC 7302 32C 3GHz	Linux	Linux	NVIDIA Tesla A100 40G	32	AMD Zen-2 (Rome)	Europe
153	TX-GAIA (Green AI Accelerator)	Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path	MIT Lincoln Laboratory Supercomputing Center	HPE	United States	88,400	5,161.00	6,981.48	4,455,360	Xeon Gold 6248 20C 2.5GHz	CentOS Linux 7	Linux	NVIDIA Tesla V100	20	Xeon Gold 62xx (Cascade Lake)	North America
154	Dardel CPU	HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-11	KTH - Royal Institute of Technology	HPE	Sweden	156,672	5,055.33	5,640.19	5,640,192	AMD EPYC 7742 64C 2.25GHz	HPE Cray OS	Linux	None	64	AMD Zen-2 (Rome)	Europe
155	Athena	FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR	Cyfronet	Format	Poland	47,616	5,051.00	7,709.18	1,391,616	AMD EPYC 7742 64C 2.25GHz	CentOS	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-2 (Rome)	Europe
156		HPE Cray XD6500, Xeon Platinum 8480+ 56C 2GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR	CUBOX	HPE	South Korea	17,520	4,957.00	8,136.48	1,089,536	Xeon Platinum 8480+ 56C 2GHz	Ubuntu 22.04.3 LTS	Linux	NVIDIA H100 SXM5 80 GB	56	Xeon Platinum (Sapphire Rapids)	Asia
157	BioHive-1	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband	Recursion	Nvidia	United States	39,680	4,902.00	5,709.44	1,811,520	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100	64	AMD Zen-2 (Rome)	North America
158	Flow Type II subsystem	PRIMERGY CX2570 M5, Xeon Gold 6230 20C 2.1GHz, NVIDIA Tesla V100 SXM2, Infiniband EDR	Information Technology Center, Nagoya University	Fujitsu	Japan	79,560	4,880.46	7,519.30	1,880,064	Xeon Gold 6230 20C 2.1GHz	Linux	Linux	NVIDIA Tesla V100 SXM2	20	Xeon Gold 62xx (Cascade Lake)	Asia
159	Eagle	HPE SGI 8600, Xeon Gold 6154 18C 3GHz, EDR Infiniband/ 8D Hypercube	National Renewable Energy Laboratory	HPE	United States	75,600	4,850.66	7,257.60	4,652,160	Xeon Gold 6154 18C 3GHz	CentOS	Linux	None	18	Xeon Gold (Skylake)	North America
160	Cheyenne	SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR	National Center for Atmospheric Research (NCAR)	HPE	United States	144,900	4,788.19	5,332.32	5,171,520	Xeon E5-2697v4 18C 2.3GHz	SUSE Linux Enterprise Server 12 SP1	Linux	None	18	Intel Xeon E5 (Broadwell)	North America
161	Betzy	Bull Sequana XH2000 , AMD EPYC 7742 64C 2.25GHz, Mellanox HDR Infiniband	UNINETT Sigma2 AS	EVIDEN	Norway	172,032	4,724.79	6,193.15	5,054,016	AMD EPYC 7742 64C 2.25GHz	RHEL 7.7	Linux	None	64	AMD Zen-2 (Rome)	Europe
162	Derecho GPU partition	HPE Cray EX 235n, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11	National Center for Atmospheric Research (NCAR)	HPE	United States	39,680	4,681.00	5,044.54	1,257,984	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-3 (Milan)	North America
163	PARAM Siddhi-AI	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100, Mellanox HDR Infiniband	Center for Development of Advanced Computing (C-DAC)	EVIDEN	India	41,664	4,619.00	5,267.14	1,317,888	AMD EPYC 7742 64C 2.25GHz	Ubuntu 20.04.1 LTS	Linux	NVIDIA A100	64	AMD Zen-2 (Rome)	Asia
164	Tioga	HPE Cray EX235a, AMD Optimized 3rd Generation EPYC 64C 2GHz, AMD Instinct MI250X, Slingshot-11	DOE/NNSA/LLNL	HPE	United States	30,208	4,548.21	5,825.54		AMD Optimized 3rd Generation EPYC 64C 2GHz	HPE Cray OS	Linux	AMD Instinct MI250X	64	AMD Zen-3 (Milan)	North America
165	ITO - Subsystem A	Fujitsu PRIMERGY CX2550/CX2560 M4, Xeon Gold 6154 18C 3GHz, Mellanox InfiniBand EDR	Research Institute for Information Technology, Kyushu University	Fujitsu	Japan	72,000	4,540.69	6,912.00	5,753,080	Xeon Gold 6154 18C 3GHz	Redhat Enterprise Linux 7	Linux	None	18	Xeon Gold (Skylake)	Asia
166	Discoverer	BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Infiniband HDR	Consortium Petascale Supercomputer Bulgaria	EVIDEN	Bulgaria	144,384	4,518.87	5,942.00	5,824,896	AMD EPYC 7H12 64C 2.6GHz	Linux	Linux	None	64	AMD Zen-2 (Rome)	Europe
167	Jean Zay	HPE SGI 8600, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100 SXM2, Intel Omni-Path	CNRS/IDRIS-GENCI	HPE	France	93,960	4,478.00	7,345.56	1,999,871	Xeon Gold 6248 20C 2.5GHz	RHEL 6.8	Linux	NVIDIA Tesla V100 SXM2	20	Xeon Gold 62xx (Cascade Lake)	Europe
168	Wisteria/BDEC-01 (Aquarius)	PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR	Information Technology Center, The University of Tokyo	Fujitsu	Japan	42,120	4,425.00	7,268.83	1,347,016	Xeon Platinum 8360Y 36C 2.4GHz	Linux	Linux	NVIDIA A100 SXM4 40 GB	36	Xeon Platinum 83xx (Ice Lake)	Asia
169	Atlas	Bull 4029GP-TVRT, Xeon Gold 6240 18C 2.6GHz, NVIDIA Tesla V100, Infiniband EDR	Petróleo Brasileiro S.A	EVIDEN	Brazil	91,936	4,376.00	8,848.49	2,081,280	Xeon Gold 6240 18C 2.6GHz	CentOS	Linux	NVIDIA Tesla V100	18	Xeon Gold 62xx (Cascade Lake)	South America
170	Advanced Computing System(PreE)	Sugon TC8600, Hygon Dhyana  32C 2GHz, Deep Computing Processor, 200Gb 6D-Torus	Sugon	Sugon	China	163,840	4,325.00	6,134.17	1,876,000	Hygon Dhyana 32C 2GHz	CentOS	Linux	Deep Computing Processor	32	Hygon Dhyana	Asia
171	CRONOS	BullSequana X, Xeon Platinum 8260 24C 2.4GHz, Infiniband HDR	EDF	EVIDEN	France	81,600	4,299.33	7,136.87	6,317,568	Xeon Platinum 8260 24C 2.4GHz	Linux	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	Europe
172	SNL/NNSA CTS-1 Manzano	Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path	Sandia National Laboratories	Penguin Computing	United States	71,424	4,281.00	6,628.15	5,491,968	Xeon Platinum 8268 24C 2.9GHz	Linux/TOSS	Linux	None	24	Xeon Platinum 82xx (Cascade Lake)	North America
173	NA7A	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	207,872	4,229.11	8,148.58	9,118,400	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
174	NA7	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	207,872	4,229.11	8,148.58	9,118,400	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
175	NA2C	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	111,936	4,228.14	9,313.08	9,463,000	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
176	NA2B	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	111,936	4,228.14	9,313.08	9,463,000	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
177	NA2	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	111,936	4,228.14	9,313.08	9,463,000	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
178	Berzelius2	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 80 GB, Octo-rail NVIDIA HDR-100 Infiniband	National Supercomputer Centre (NSC)	EVIDEN	Sweden	33,728	4,214.00	5,139.45	1,507,328	AMD EPYC 7742 64C 2.25GHz	RedHat Enterprise Linux	Linux	NVIDIA A100 SXM4 80 GB	64	AMD Zen-2 (Rome)	Europe
179	Noctua 2	BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100	Universitaet Paderborn - PC2	EVIDEN	Germany	135,168	4,190.90	5,298.59	5,241,600	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	Europe
180	NA6B	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	111,744	4,155.80	9,297.10	9,454,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
181	NA6A	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	111,744	4,155.80	9,297.10	9,454,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
182	NA6	Lenovo ThinkSystem SR650 V2, Xeon Platinum 8358 32C 2.6GHz, 100G Ethernet	Software Company	Lenovo	United States	111,744	4,155.80	9,297.10	9,454,800	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	North America
183		Apollo 6500 XL270d Gen10, Xeon Gold 6140 18C 2.3GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2	Research Institute	HPE	Japan	70,416	4,128.00	5,783.81	1,843,200	Xeon Gold 6140 18C 2.3GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	18	Xeon Gold (Skylake)	Asia
184	JOLIOT-CURIE SKL	Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR	CEA/TGCC-GENCI	EVIDEN	France	79,488	4,065.55	6,635.52	5,861,568	Xeon Platinum 8168 24C 2.7GHz	bullx SCS	Linux	None	24	Xeon Platinum (Skylake)	Europe
185	Abel	Cray XC30, Xeon E5-2698v3 16C 2.3GHz, Aries interconnect 	Petroleum Geo-Services	HPE	United States	145,920	4,042.46	5,369.86	8,338,176	Xeon E5-2698v3 16C 2.3GHz	Cray Linux Environment 	Linux	None	16	Intel Xeon E5 (Haswell)	North America
186	Warhawk	HPE Cray EX, AMD EPYC 7H12 64C 2.6GHz, Slingshot-10	Air Force Research Laboratory	HPE	United States	129,920	4,033.50	5,404.67	7,470,320	AMD EPYC 7H12 64C 2.6GHz	SLES15 SP2	Linux	None	64	AMD Zen-2 (Rome)	North America
187	Alex	MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR	Universitaet Erlangen - Regionales Rechenzentrum Erlangen	MEGWARE	Germany	37,696	4,030.00	6,083.65	1,225,728	AMD EPYC 7713 64C 2GHz	AlmaLinux 8.5	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-3 (Milan)	Europe
188	DGX Saturn V	NVIDIA DGX-1 Volta36, Xeon E5-2698v4 20C 2.2GHz, NVIDIA Tesla V100, Infiniband EDR	NVIDIA Corporation	Nvidia	United States	87,040	3,998.00	7,414.78	1,925,376	Xeon E5-2698v4 20C 2.2GHz	Ubuntu	Linux	NVIDIA Tesla V100	20	Intel Xeon E5 (Broadwell)	North America
189	NA9B	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	200,448	3,960.21	7,857.56	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
190	NA9A	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	200,448	3,960.21	7,857.56	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
191	NA9	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	200,448	3,960.21	7,857.56	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
192		Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	ECMWF	HPE	United Kingdom	126,468	3,944.68	4,249.33	7,171,008	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Europe
193		Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	ECMWF	HPE	United Kingdom	126,468	3,944.68	4,249.33	7,171,008	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Europe
194	NA1	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	191,232	3,920.56	7,496.29	8,746,000	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
195	Nautilus	Penguin Altus XE2214GTS, AMD EPYC 7713 64C 2GHz, NVIDIA A100, Infiniband HDR200	Navy DSRC	Penguin Computing	United States	191,680	3,897.50	8,155.00	4,423,680	AMD EPYC 7713 64C 2GHz	RHEL 8.7	Linux	NVIDIA A100	64	AMD Zen-3 (Milan)	North America
196	Clementina XXI	Lenovo ThinkSystem SD650 V3, Xeon Max 9462 32C 2.7GHz, Infiniband NDR 400	Servicio Meteorológico Nacional	Lenovo	Argentina	43,008	3,876.39	5,990.87	1,662,720	Xeon Max 9462 32C 2.7GHz	Red Hat Enterprise Linux	Linux	Intel Data Center GPU Max 1550	32	Intel Xeon Max	South America
197	Gemini	PowerEdge XE8545, AMD EPYC 74F3 24C 3.2GHz, NVIDIA A100, Infiniband	Petróleo Brasileiro S.A	DELL EMC	Brazil	42,240	3,861.00	6,864.00	1,752,064	AMD EPYC 74F3 24C 3.2GHz	RHEL 7.8	Linux	NVIDIA A100	24	AMD Zen-3 (Milan)	South America
198	VEGA HPC CPU	BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox InfiniBand HDR100	IZUM	EVIDEN	Slovenia	122,880	3,822.00	5,367.00	5,140,224	AMD EPYC 7H12 64C 2.6GHz	Linux	Linux	None	64	AMD Zen-2 (Rome)	Europe
199	Delta	Apollo 6500, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100, Slingshot-10	NCSA	HPE	United States	49,600	3,812.00	8,050.88	1,448,064	AMD EPYC 7763 64C 2.45GHz	RHEL 8.4	Linux	NVIDIA A100	64	AMD Zen-3 (Milan)	North America
200	hotlum	HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, Slingshot-11	Hewlett Packard Enterprise	HPE	France	116,736	3,807.96	4,576.05	6,856,320	AMD EPYC 7763 64C 2.45GHz	HPE Cray OS	Linux	None	64	AMD Zen-3 (Milan)	Europe
201	Pratyush	Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect 	Indian Institute of Tropical Meteorology	HPE	India	119,232	3,763.94	4,006.20	5,935,104	Xeon E5-2695v4 18C 2.1GHz	Cray Linux Environment 	Linux	None	18	Intel Xeon E5 (Broadwell)	Asia
202		Apollo 6500 XL270d Gen10, Xeon Gold 6150/6152 18C 2.7GHz, Mellanox InfiniBand EDR, NVIDIA Tesla V100 SXM2	SAKURA Internet Inc. / Prunus Solutions Inc.	HPE	Japan	65,208	3,712.00	5,365.09	1,769,472	Xeon Gold 6150 18C 2.7GHz	CentOS	Linux	NVIDIA Tesla V100 SXM2	18	Xeon Gold (Skylake)	Asia
203	LLNL Ruby	Supermicro SYS-2029TP-HTR, Xeon Platnium 8276L 28C 2.2GHz, Cornelis Networks Omni-Path	Lawrence Livermore National Laboratory	Supermicro	United States	85,568	3,700.15	6,023.99	5,754,624	Xeon Platinum 8276L 28C 2.2GHz	Linux/TOSS	Linux	None	28	Xeon Platinum 82xx (Cascade Lake)	North America
204	Orion	PowerEdge C6420, Xeon Gold 6148 20C 2.4GHz, Infiniband HDR	Mississippi State University	DELL EMC	United States	70,560	3,665.72	5,419.01	4,298,880	Xeon Gold 6148 20C 2.4GHz	Linux	Linux	None	20	Xeon Gold (Skylake)	North America
205	IARA	NVIDIA DGX A100, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband	SiDi	Nvidia	Brazil	24,800	3,657.00	4,130.40	1,392,158	AMD EPYC 7742 64C 2.25GHz	Ubuntu	Linux	NVIDIA A100 SXM4 40 GB	64	AMD Zen-2 (Rome)	South America
206		ThinkSystem SD650 V2, Xeon Platinum 8358 32C 2.6GHz, Mellanox HDR Infiniband	Shanghai Jiao Tong University	Lenovo	China	59,392	3,656.78	4,941.41	5,529,600	Xeon Platinum 8358 32C 2.6GHz	Linux	Linux	None	32	Xeon Platinum 83xx (Ice Lake)	Asia
207	NA10B	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	184,320	3,641.57	7,225.34	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
208	NA10A	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	184,320	3,641.57	7,225.34	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
209	NA10	Lenovo ThinkSystem SR665 V2, AMD EPYC 7763 64C 2.45GHz, 100G Ethernet	Software Company	Lenovo	United States	184,320	3,641.57	7,225.34	9,839,200	AMD EPYC 7763 64C 2.45GHz	Linux	Linux	None	64	AMD Zen-3 (Milan)	North America
